urls,images,path
www.digikala.com/product/dkp-5948001/لپ-تاپ-11-اینچی-لنوو-مدل-ideapad-1-11ada05,"https://dkstatics-public.digikala.com/digikala-products/4a4f7d3c1fcaeefa6fd3d94b1dc427e613b62050_1627809875.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-11-اینچی-لنوو-مدل-ideapad-1-11ada05/4a4f7d3c1fcaeefa6fd3d94b1dc427e613b62050_1627809875.jpg?x-oss-process=image22.jpg
www.digikala.com/product/dkp-6214600/لپ-تاپ-14-اینچی-ایسوس-مدل-zenbook-14-um425ia-am035,"https://dkstatics-public.digikala.com/digikala-products/8f6d8ce6f757dc8b56611849fbb86adb76930b68_1629873349.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-14-اینچی-ایسوس-مدل-zenbook-14-um425ia-am035/8f6d8ce6f757dc8b56611849fbb86adb76930b68_1629873349.jpg?x-oss-process=image23.jpg
www.digikala.com/product/dkp-6239906/لپ-تاپ-156-اینچی-ایسر-مدل-an515-55-719k-nb-clone-1-of-5658505,"https://dkstatics-public.digikala.com/digikala-products/48adbd14e6da00911bc22f7ec7ec21c93ae721de_1630129806.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-ایسر-مدل-an515-55-719k-nb-clone-1-of-5658505/48adbd14e6da00911bc22f7ec7ec21c93ae721de_1630129806.jpg?x-oss-process=image24.jpg
www.digikala.com/product/dkp-1925717/لپ-تاپ-15-اینچی-لنوو-مدل-ideapad-v130-pc,"https://dkstatics-public.digikala.com/digikala-products/112821119.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-15-اینچی-لنوو-مدل-ideapad-v130-pc/112821119.jpg?x-oss-process=image25.jpg
www.digikala.com/product/dkp-7244414/لپ-تاپ-156-اینچی-ایسوس-مدل-r565ea-bq1477,"https://dkstatics-public.digikala.com/digikala-products/268eac711d48dd78a04273fc74f2da6247009626_1639214903.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-ایسوس-مدل-r565ea-bq1477/268eac711d48dd78a04273fc74f2da6247009626_1639214903.jpg?x-oss-process=image26.jpg
www.digikala.com/product/dkp-6922321/لپ-تاپ-156-اینچی-لنوو-مدل-thinkbook-15-g2-itl-clone-1-of-6187574,"https://dkstatics-public.digikala.com/digikala-products/77bc5075783ed25382c8d467ca88139514d3f5f8_1635920336.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-لنوو-مدل-thinkbook-15-g2-itl-clone-1-of-6187574/77bc5075783ed25382c8d467ca88139514d3f5f8_1635920336.jpg?x-oss-process=image27.jpg
www.digikala.com/product/dkp-7159661/لپ-تاپ-16-اینچی-ایسوس-مدل-rog-zephyrus-m16-gu603hm-211zm16,"https://dkstatics-public.digikala.com/digikala-products/6235b7fa89f75b114fea76eaedb77233701f3cb4_1637684554.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-16-اینچی-ایسوس-مدل-rog-zephyrus-m16-gu603hm-211zm16/6235b7fa89f75b114fea76eaedb77233701f3cb4_1637684554.jpg?x-oss-process=image28.jpg
www.digikala.com/product/dkp-7158254/لپ-تاپ-156-اینچی-ایسوس-مدل-tuf-gaming-f15-fx506lh-ba,"https://dkstatics-public.digikala.com/digikala-products/11529181d63d40636ed7d68023437284e68c6bd6_1637677275.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-ایسوس-مدل-tuf-gaming-f15-fx506lh-ba/11529181d63d40636ed7d68023437284e68c6bd6_1637677275.jpg?x-oss-process=image29.jpg
www.digikala.com/product/dkp-4888700/لپ-تاپ-14-اینچی-هوآوی-مدل-matebook-d14,"https://dkstatics-public.digikala.com/digikala-products/4e7983d9bd59ca7309ace03de0b1cf45e31ad42d_1618230895.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-14-اینچی-هوآوی-مدل-matebook-d14/4e7983d9bd59ca7309ace03de0b1cf45e31ad42d_1618230895.jpg?x-oss-process=image30.jpg
www.digikala.com/product/dkp-7155736/لپ-تاپ-156-اینچی-ایسوس-مدل-r565ep-bq337,"https://dkstatics-public.digikala.com/digikala-products/f51582f001604b5c494e61e802d872fa923d5cab_1637675838.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-ایسوس-مدل-r565ep-bq337/f51582f001604b5c494e61e802d872fa923d5cab_1637675838.jpg?x-oss-process=image31.jpg
